Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,URL,FindACopy,Database
Michigan Has Resisted Political Extremism Against All Odds: [Op-Ed]: [Op-Ed],2711660281,newspapers,"Mcquade, Barbara", Senate," Copyright New York Times Company Sep 9, 2022"," Opinions , Commentary"," Sep 9, 2022", English, English, A.22," New York, N.Y.","Sep 9, 2022",New York Times,2022,https://www.proquest.com/newspapers/michigan-has-resisted-political-extremism-against/docview/2711660281/se-2?accountid=14026, https://www.nytimes.com/2022/09/07/opinion/michigan-right-wing-extremism.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Michigan+Has+Resisted+Political+Extremism+Against+All+Odds%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Mcquade%2C+Barbara&amp;rft.aulast=Mcquade&amp;rft.aufirst=Barbara&amp;rft.date=2022-09-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
The Immortal Awfulness of Open Plan Workplaces: [Op-Ed]: [Op-Ed],2711660269,newspapers,"Brooks, David",," Copyright New York Times Company Sep 9, 2022"," Opinions , Commentary"," Sep 9, 2022", English, English, A.23," New York, N.Y.","Sep 9, 2022",New York Times,2022,https://www.proquest.com/newspapers/immortal-awfulness-open-plan-workplaces-op-ed/docview/2711660269/se-2?accountid=14026, https://www.nytimes.com/2022/09/08/opinion/open-plan-office-awful.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=The+Immortal+Awfulness+of+Open+Plan+Workplaces%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Brooks%2C+David&amp;rft.aulast=Brooks&amp;rft.aufirst=David&amp;rft.date=2022-09-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Do You Think Your Newfound Popularity Has Something to Do With Politics?: [Op-Ed]: [Op-Ed],2711142991,newspapers,"Collins, Gail", Democratic Party," Copyright New York Times Company Sep 8, 2022"," Opinions , Commentary"," Sep 8, 2022", English, English, A.22," New York, N.Y.","Sep 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/do-you-think-your-newfound-popularity-has/docview/2711142991/se-2?accountid=14026, https://www.nytimes.com/2022/09/07/opinion/midterms-senate-democrats.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Do+You+Think+Your+Newfound+Popularity+Has+Something+to+Do+With+Politics%3F%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Collins%2C+Gail&amp;rft.aulast=Collins&amp;rft.aufirst=Gail&amp;rft.date=2022-09-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Lea Michele and the Question of Second Chances: [Op-Ed]: [Op-Ed],2711142964,newspapers,"Bennett, Jessica",," Copyright New York Times Company Sep 8, 2022"," Opinions , Commentary"," Sep 8, 2022", English, English, A.22," New York, N.Y.","Sep 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/lea-michele-question-second-chances-op-ed/docview/2711142964/se-2?accountid=14026, https://www.nytimes.com/2022/09/06/opinion/lea-michele-funny-girl-second-chances.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Lea+Michele+and+the+Question+of+Second+Chances%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Bennett%2C+Jessica&amp;rft.aulast=Bennett&amp;rft.aufirst=Jessica&amp;rft.date=2022-09-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
The War on Drugs Abroad Has Been a Failure: [Op-Ed]: [Op-Ed],2711142925,newspapers,"Thornton, Christy",," Copyright New York Times Company Sep 8, 2022"," Commentary , Opinions"," Sep 8, 2022", English, English, A.23," New York, N.Y.","Sep 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/war-on-drugs-abroad-has-been-failure-op-ed/docview/2711142925/se-2?accountid=14026, https://www.nytimes.com/2022/09/07/opinion/colombia-drug-war-us.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=The+War+on+Drugs+Abroad+Has+Been+a+Failure%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Thornton%2C+Christy&amp;rft.aulast=Thornton&amp;rft.aufirst=Christy&amp;rft.date=2022-09-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
With Malice Toward Quite a Few: [Op-Ed]: [Op-Ed],2710102445,newspapers,"Stephens, Bret",," Copyright New York Times Company Sep 7, 2022", Commentary," Sep 7, 2022", English, English, A.23," New York, N.Y.","Sep 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/with-malice-toward-quite-few-op-ed/docview/2710102445/se-2?accountid=14026, https://www.nytimes.com/2022/09/06/opinion/biden-speech-maga-republicans.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=With+Malice+Toward+Quite+a+Few%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Stephens%2C+Bret&amp;rft.aulast=Stephens&amp;rft.aufirst=Bret&amp;rft.date=2022-09-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
How I Want the World to Remember Gorbachev: [Op-Ed]: [Op-Ed],2710102437,newspapers,"Baker, James A; Iii",," Copyright New York Times Company Sep 7, 2022"," Opinions , Commentary"," Sep 7, 2022", English, English, A.22," New York, N.Y.","Sep 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/how-i-want-world-remember-gorbachev-op-ed/docview/2710102437/se-2?accountid=14026, https://www.nytimes.com/2022/09/06/opinion/gorbachev-russia.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=How+I+Want+the+World+to+Remember+Gorbachev%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Baker%2C+James+A%3B+Iii&amp;rft.aulast=Baker&amp;rft.aufirst=James&amp;rft.date=2022-09-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Abortion and Trump Are Giving Democrats a Shot: [Op-Ed]: [Op-Ed],2710102424,newspapers,"Cottle, Michelle"," Republican Party , Congress , Democratic Party"," Copyright New York Times Company Sep 7, 2022"," Commentary , Opinions"," Sep 7, 2022", English, English, A.22," New York, N.Y.","Sep 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/abortion-trump-are-giving-democrats-shot-op-ed/docview/2710102424/se-2?accountid=14026, https://www.nytimes.com/2022/09/05/opinion/abortion-trump-democrats.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Abortion+and+Trump+Are+Giving+Democrats+a+Shot%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Cottle%2C+Michelle&amp;rft.aulast=Cottle&amp;rft.aufirst=Michelle&amp;rft.date=2022-09-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Liz Truss Remains in Thrall to the Empire: [Op-Ed]: [Op-Ed],2710102369,newspapers,"Koram, Kojo", Conservative Party-UK," Copyright New York Times Company Sep 7, 2022"," Opinions , Commentary"," Sep 7, 2022", English, English, A.23," New York, N.Y.","Sep 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/liz-truss-remains-thrall-empire-op-ed/docview/2710102369/se-2?accountid=14026, https://www.nytimes.com/2022/09/06/opinion/truss-uk-prime-minister.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Liz+Truss+Remains+in+Thrall+to+the+Empire%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Koram%2C+Kojo&amp;rft.aulast=Koram&amp;rft.aufirst=Kojo&amp;rft.date=2022-09-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"Biden Loves Labor, but It Might Not Love Him Back: [Op-Ed]: [Op-Ed]",2709828083,newspapers,"Stockman, Farah"," United Automobile Aerospace & Agricultural Implement Workers of America--UAW , National Labor Relations Board--NLRB , Democratic Party"," Copyright New York Times Company Sep 6, 2022"," Commentary , Opinions"," Sep 6, 2022", English, English, A.21," New York, N.Y.","Sep 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/biden-loves-labor-might-not-love-him-back-op-ed/docview/2709828083/se-2?accountid=14026, https://www.nytimes.com/2022/09/05/opinion/unions-labor-movement-biden.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Biden+Loves+Labor%2C+but+It+Might+Not+Love+Him+Back%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Stockman%2C+Farah&amp;rft.aulast=Stockman&amp;rft.aufirst=Farah&amp;rft.date=2022-09-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.21&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"What Is Owed to Pakistan, Now One-Third Underwater: [Op-Ed]: [Op-Ed]",2709828064,newspapers,"Bhutto, Fatima",," Copyright New York Times Company Sep 6, 2022"," Opinions , Commentary"," Sep 6, 2022", English, English, A.20," New York, N.Y.","Sep 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/what-is-owed-pakistan-now-one-third-underwater-op/docview/2709828064/se-2?accountid=14026, https://www.nytimes.com/2022/09/03/opinion/environment/floods-in-pakistan-climate-change.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=What+Is+Owed+to+Pakistan%2C+Now+One-Third+Underwater%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Bhutto%2C+Fatima&amp;rft.aulast=Bhutto&amp;rft.aufirst=Fatima&amp;rft.date=2022-09-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.20&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Has Bidenomics Been Good for Workers?: [Op-Ed]: [Op-Ed],2709828033,newspapers,"Krugman, Paul",," Copyright New York Times Company Sep 6, 2022", Commentary," Sep 6, 2022", English, English, A.20," New York, N.Y.","Sep 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/has-bidenomics-been-good-workers-op-ed/docview/2709828033/se-2?accountid=14026, https://www.nytimes.com/2022/09/05/opinion/has-bidenomics-been-good-for-workers.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Has+Bidenomics+Been+Good+for+Workers%3F%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Krugman%2C+Paul&amp;rft.aulast=Krugman&amp;rft.aufirst=Paul&amp;rft.date=2022-09-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.20&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Does Biden Truly Think Democracy Is in Crisis?: [Op-Ed]: [Op-Ed],2709618925,newspapers,"Douthat, Ross"," Senate , Democratic Party"," Copyright New York Times Company Sep 5, 2022"," Opinions , Commentary"," Sep 5, 2022", English, English, A.15," New York, N.Y.","Sep 5, 2022",New York Times,2022,https://www.proquest.com/newspapers/does-biden-truly-think-democracy-is-crisis-op-ed/docview/2709618925/se-2?accountid=14026, https://www.nytimes.com/2022/09/03/opinion/joe-biden-democracy-crisis.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Does+Biden+Truly+Think+Democracy+Is+in+Crisis%3F%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Douthat%2C+Ross&amp;rft.aulast=Douthat&amp;rft.aufirst=Ross&amp;rft.date=2022-09-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.15&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"If an Alternative Candidate Is Needed in 2024, These Folks Will Be Ready: [Op-Ed]: [Op-Ed]",2709618923,newspapers,"Brooks, David",," Copyright New York Times Company Sep 5, 2022"," Opinions , Commentary"," Sep 5, 2022", English, English, A.14," New York, N.Y.","Sep 5, 2022",New York Times,2022,https://www.proquest.com/newspapers/if-alternative-candidate-is-needed-2024-these/docview/2709618923/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/third-presidential-candidate-2024.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=If+an+Alternative+Candidate+Is+Needed+in+2024%2C+These+Folks+Will+Be+Ready%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Brooks%2C+David&amp;rft.aulast=Brooks&amp;rft.aufirst=David&amp;rft.date=2022-09-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Republicans Don't Deserve an Apology: [Op-Ed]: [Op-Ed],2709618912,newspapers,"Blow, Charles M",," Copyright New York Times Company Sep 5, 2022", Commentary," Sep 5, 2022", English, English, A.15," New York, N.Y.","Sep 5, 2022",New York Times,2022,https://www.proquest.com/newspapers/republicans-dont-deserve-apology-op-ed/docview/2709618912/se-2?accountid=14026, https://www.nytimes.com/2022/09/04/opinion/biden-semifacism-apologize.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Republicans+Don%27t+Deserve+an+Apology%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Blow%2C+Charles+M&amp;rft.aulast=Blow&amp;rft.aufirst=Charles&amp;rft.date=2022-09-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.15&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Cesar Chavez's Union Has Lost Its Way: [Op-Ed]: [Op-Ed],2709618902,newspapers,Miriam Pawel,," Copyright New York Times Company Sep 5, 2022"," Opinions , Commentary"," Sep 5, 2022", English, English, A.14," New York, N.Y.","Sep 5, 2022",New York Times,2022,https://www.proquest.com/newspapers/cesar-chavezs-union-has-lost-way-op-ed/docview/2709618902/se-2?accountid=14026, https://www.nytimes.com/2022/09/04/opinion/united-farm-workers-california.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Cesar+Chavez%27s+Union+Has+Lost+Its+Way%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Miriam+Pawel&amp;rft.aulast=Miriam+Pawel&amp;rft.aufirst=&amp;rft.date=2022-09-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Wasting Time and Money: [Op-Ed]: [Op-Ed],2709476944,newspapers,"Caplan, Bryan",," Copyright New York Times Company Sep 4, 2022"," Commentary , Opinions"," Sep 4, 2022", English, English, SR.8," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/wasting-time-money-op-ed/docview/2709476944/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-school-knowledge.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Wasting+Time+and+Money%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Caplan%2C+Bryan&amp;rft.aulast=Caplan&amp;rft.aufirst=Bryan&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Us: [Op-Ed]: [Op-Ed],2709476941,newspapers,Fremont High School Students,," Copyright New York Times Company Sep 4, 2022"," Opinions , Commentary"," Sep 4, 2022", English, English, SR.6," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/us-op-ed/docview/2709476941/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-high-school-oakland.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Us%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Fremont+High+School+Students&amp;rft.aulast=Fremont+High+School+Students&amp;rft.aufirst=&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Connecting to Nature: [Op-Ed]: [Op-Ed],2709476937,newspapers,"Sowder, Nicolette",," Copyright New York Times Company Sep 4, 2022"," Commentary , Opinions"," Sep 4, 2022", English, English, SR.10," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/connecting-nature-op-ed/docview/2709476937/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-school-nature.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Connecting+to+Nature%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Sowder%2C+Nicolette&amp;rft.aulast=Sowder&amp;rft.aufirst=Nicolette&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.10&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Hope: [Op-Ed]: [Op-Ed],2709476923,newspapers,"Oliveira, Gabrielle",," Copyright New York Times Company Sep 4, 2022"," Opinions , Commentary"," Sep 4, 2022", English, English, SR.9," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/hope-op-ed/docview/2709476923/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-school-immigrant-children.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Hope%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Oliveira%2C+Gabrielle&amp;rft.aulast=Oliveira&amp;rft.aufirst=Gabrielle&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.9&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Learning to Read: [Op-Ed]: [Op-Ed],2709476916,newspapers,"Hanford, Emily",," Copyright New York Times Company Sep 4, 2022"," Commentary , Opinions"," Sep 4, 2022", English, English, SR.4," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/learning-read-op-ed/docview/2709476916/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-school-reading.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Learning+to+Read%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Hanford%2C+Emily&amp;rft.aulast=Hanford&amp;rft.aufirst=Emily&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
For Care: [Op-Ed]: [Op-Ed],2709476903,newspapers,"Grose, Jessica", TikTok Inc," Copyright New York Times Company Sep 4, 2022"," Commentary , Opinions"," Sep 4, 2022", English, English, SR.5," New York, N.Y.","Sep 4, 2022",New York Times,2022,https://www.proquest.com/newspapers/care-op-ed/docview/2709476903/se-2?accountid=14026, https://www.nytimes.com/2022/09/01/opinion/us-school-care.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=For+Care%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Grose%2C+Jessica&amp;rft.aulast=Grose&amp;rft.aufirst=Jessica&amp;rft.date=2022-09-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=SR.5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
